Idade,Genero,Item_Comprado,Valor_Compra(R$),Forma_Pagamento,Compras_Anteriores,Frequencia_Compras
49,Masculino,Luvas,58.0,PayPal,3,Mensal
64,Masculino,Cachecol,85.0,Cartao de Debito,21,Anual
50,Masculino,Bone,43.0,Transferencia Bancaria,32,Mensal
22,Masculino,Vestido,53.0,Cartao de Debito,36,Quinzenal
50,Masculino,Saia,91.0,Venmo,50,Quinzenal
38,Masculino,Jaqueta,96.0,Transferencia Bancaria,43,A cada 3 meses
19,Masculino,Sandalias,72.0,Cartao de Credito,24,A cada 3 meses
67,Masculino,Sapato,96.0,PayPal,36,A cada 3 meses
19,Masculino,Calca,28.0,Transferencia Bancaria,21,A cada 3 meses
36,Masculino,Vestido,40.0,Cartao de Debito,34,Semanal
52,Masculino,Casaco,32.0,Dinheiro,42,A cada 3 meses
53,Masculino,Óculos de Sol,95.0,Cartao de Credito,2,Duas vezes/semana
24,Masculino,Agasalho,41.0,Venmo,47,Duas vezes/semana
52,Masculino,Sapato,53.0,Cartao de Debito,44,Quinzenal
33,Masculino,Camiseta,47.0,Cartao de Credito,35,Mensal
47,Masculino,Jaqueta,83.0,Transferencia Bancaria,15,Trimestral
25,Masculino,Bone,48.0,Venmo,29,Mensal
44,Masculino,Cachecol,99.0,PayPal,18,A cada 3 meses
61,Masculino,Jaqueta,87.0,Dinheiro,13,A cada 3 meses
37,Masculino,Sueter,62.0,PayPal,46,Semanal
58,Masculino,Saia,76.0,Transferencia Bancaria,28,Semanal
37,Masculino,Tenis,100.0,PayPal,48,Mensal
32,Masculino,Luvas,73.0,Venmo,43,A cada 3 meses
21,Masculino,Sapato,92.0,PayPal,37,Anual
20,Masculino,Jeans,67.0,Dinheiro,20,Anual
26,Masculino,Agasalho,40.0,Dinheiro,33,Trimestral
62,Masculino,Óculos de Sol,98.0,PayPal,31,Quinzenal
27,Masculino,Casaco,85.0,Venmo,50,Duas vezes/semana
51,Masculino,Meias,67.0,Cartao de Credito,35,Trimestral
54,Masculino,Botas,89.0,Cartao de Debito,22,Duas vezes/semana
55,Masculino,Óculos de Sol,24.0,Transferencia Bancaria,1,Mensal
69,Masculino,Mochila,96.0,Transferencia Bancaria,4,Anual
64,Masculino,Jaqueta,35.0,Dinheiro,31,Mensal
28,Masculino,Tenis,67.0,Dinheiro,46,Quinzenal
70,Masculino,Meias,79.0,Transferencia Bancaria,32,Duas vezes/semana
58,Masculino,Camiseta,85.0,Dinheiro,43,Quinzenal
56,Masculino,Mochila,26.0,Transferencia Bancaria,26,Quinzenal
26,Masculino,Cinto,75.0,PayPal,9,Anual
37,Masculino,Luvas,65.0,Cartao de Credito,28,Duas vezes/semana
44,Masculino,Bone,54.0,Cartao de Debito,20,Trimestral
70,Masculino,Casaco,95.0,Venmo,9,Semanal
53,Masculino,Saia,94.0,Dinheiro,48,A cada 3 meses
55,Masculino,Sapato,86.0,PayPal,12,Anual
50,Masculino,Sandalias,32.0,Transferencia Bancaria,29,Quinzenal
50,Masculino,Sueter,45.0,Transferencia Bancaria,27,Duas vezes/semana
38,Masculino,Casaco,76.0,Cartao de Debito,44,Anual
64,Masculino,Bone,84.0,PayPal,32,Anual
19,Masculino,Shorts,72.0,Dinheiro,11,Quinzenal
40,Masculino,Mochila,40.0,Cartao de Credito,44,Quinzenal
57,Masculino,Sueter,89.0,Cartao de Debito,46,Semanal
44,Masculino,Sueter,86.0,PayPal,50,Anual
49,Masculino,Shorts,54.0,Dinheiro,45,A cada 3 meses
43,Masculino,Shorts,36.0,Transferencia Bancaria,48,A cada 3 meses
24,Masculino,Sueter,89.0,Venmo,26,Semanal
20,Masculino,Cachecol,32.0,Venmo,21,Quinzenal
24,Masculino,Vestido,67.0,Dinheiro,49,Duas vezes/semana
44,Masculino,Cachecol,39.0,Cartao de Credito,13,Quinzenal
28,Masculino,Saia,29.0,PayPal,46,Semanal
30,Masculino,Mochila,58.0,Transferencia Bancaria,42,Semanal
52,Masculino,Sueter,65.0,Transferencia Bancaria,25,Anual
43,Masculino,Bone,94.0,Cartao de Credito,25,Mensal
43,Masculino,Sandalias,81.0,PayPal,12,Trimestral
39,Masculino,Blusa,86.0,Cartao de Credito,4,Trimestral
68,Masculino,Tenis,43.0,Dinheiro,38,Semanal
68,Masculino,Saia,29.0,Dinheiro,42,Semanal
49,Masculino,Casaco,95.0,Cartao de Debito,30,Anual
63,Masculino,Camisa,28.0,Transferencia Bancaria,50,Semanal
56,Masculino,Luvas,46.0,PayPal,45,Semanal
37,Masculino,Jaqueta,58.0,PayPal,33,Quinzenal
30,Masculino,Casaco,48.0,Transferencia Bancaria,25,Trimestral
19,Masculino,Sapato,43.0,Cartao de Credito,25,Mensal
24,Masculino,Joias,95.0,Venmo,44,Trimestral
52,Masculino,Saia,30.0,Cartao de Debito,21,Quinzenal
63,Masculino,Sapato,64.0,Transferencia Bancaria,31,Quinzenal
37,Masculino,Luvas,90.0,PayPal,47,Anual
38,Masculino,Calca,76.0,Venmo,14,Mensal
35,Masculino,Botas,96.0,Transferencia Bancaria,17,A cada 3 meses
28,Masculino,Óculos de Sol,47.0,Cartao de Debito,3,Anual
30,Masculino,Camisa,85.0,PayPal,42,Anual
69,Masculino,Agasalho,55.0,Cartao de Debito,22,Anual
41,Masculino,Vestido,98.0,Cartao de Debito,21,Trimestral
63,Masculino,Meias,77.0,Dinheiro,21,Trimestral
35,Masculino,Shorts,26.0,Venmo,40,Anual
36,Masculino,Bone,68.0,Cartao de Debito,1,Quinzenal
25,Masculino,Camisa,73.0,Transferencia Bancaria,50,Mensal
58,Masculino,Luvas,27.0,Cartao de Debito,39,A cada 3 meses
27,Masculino,Luvas,23.0,Transferencia Bancaria,34,Mensal
65,Masculino,Mochila,49.0,Venmo,29,Quinzenal
54,Masculino,Óculos de Sol,74.0,Cartao de Credito,31,Duas vezes/semana
54,Masculino,Saia,67.0,PayPal,8,Semanal
59,Masculino,Bolsa,65.0,Cartao de Debito,5,Quinzenal
42,Masculino,Bolsa,60.0,Cartao de Credito,7,Mensal
46,Masculino,Tenis,31.0,Dinheiro,30,Mensal
33,Masculino,Luvas,27.0,Venmo,14,A cada 3 meses
34,Masculino,Sapato,80.0,Transferencia Bancaria,5,Quinzenal
27,Masculino,Jaqueta,30.0,Cartao de Credito,3,A cada 3 meses
52,Masculino,Camisa,25.0,Venmo,46,Duas vezes/semana
29,Masculino,Shorts,35.0,Cartao de Debito,4,Semanal
54,Masculino,Joias,67.0,Transferencia Bancaria,42,Duas vezes/semana
25,Masculino,Bone,46.0,PayPal,30,Anual
41,Masculino,Sapato,35.0,Venmo,37,Anual
53,Masculino,Casaco,86.0,Cartao de Debito,2,Anual
53,Masculino,Mochila,81.0,Transferencia Bancaria,30,Trimestral
21,Masculino,Agasalho,42.0,Cartao de Debito,47,Mensal
61,Masculino,Saia,43.0,Cartao de Debito,21,Trimestral
64,Masculino,Botas,31.0,Cartao de Debito,9,Quinzenal
51,Masculino,Sandalias,81.0,Dinheiro,12,Quinzenal
32,Masculino,Calca,61.0,Venmo,4,Semanal
38,Masculino,Luvas,96.0,Venmo,10,Anual
58,Masculino,Saia,29.0,Transferencia Bancaria,26,Semanal
32,Masculino,Tenis,33.0,Dinheiro,40,Quinzenal
46,Masculino,Camiseta,32.0,Transferencia Bancaria,34,Quinzenal
39,Masculino,Mochila,56.0,Cartao de Debito,31,Anual
19,Masculino,Sapato,94.0,Cartao de Credito,1,Duas vezes/semana
50,Masculino,Agasalho,53.0,Cartao de Credito,5,Duas vezes/semana
36,Masculino,Blusa,82.0,Venmo,4,Semanal
65,Masculino,Casaco,70.0,Venmo,48,Trimestral
64,Masculino,Bone,76.0,Cartao de Credito,29,A cada 3 meses
46,Masculino,Sapato,29.0,Venmo,12,Duas vezes/semana
36,Masculino,Cinto,100.0,PayPal,29,Anual
51,Masculino,Mochila,94.0,Venmo,15,Trimestral
51,Masculino,Jaqueta,25.0,Cartao de Credito,34,Mensal
38,Masculino,Botas,88.0,Dinheiro,41,Quinzenal
59,Masculino,Cachecol,78.0,Cartao de Debito,41,Mensal
57,Masculino,Joias,45.0,Dinheiro,39,Quinzenal
54,Masculino,Bone,73.0,Cartao de Debito,32,Semanal
25,Masculino,Vestido,61.0,PayPal,29,Mensal
69,Masculino,Blusa,22.0,Transferencia Bancaria,15,Anual
57,Masculino,Bone,38.0,Transferencia Bancaria,33,Anual
70,Masculino,Cachecol,38.0,PayPal,18,Semanal
24,Masculino,Tenis,100.0,PayPal,35,Duas vezes/semana
67,Masculino,Camisa,64.0,Transferencia Bancaria,25,Semanal
24,Masculino,Camiseta,55.0,Venmo,6,Quinzenal
62,Masculino,Luvas,91.0,Venmo,17,Duas vezes/semana
57,Masculino,Saia,38.0,Dinheiro,17,Mensal
55,Masculino,Sandalias,97.0,Transferencia Bancaria,44,A cada 3 meses
45,Masculino,Jaqueta,22.0,Venmo,6,Quinzenal
69,Masculino,Saia,92.0,Venmo,45,Quinzenal
67,Masculino,Bolsa,84.0,Venmo,7,Anual
30,Masculino,Bolsa,93.0,Dinheiro,11,A cada 3 meses
24,Masculino,Jaqueta,50.0,Dinheiro,41,A cada 3 meses
62,Masculino,Cachecol,64.0,Transferencia Bancaria,24,Duas vezes/semana
43,Masculino,Shorts,61.0,Dinheiro,21,Semanal
35,Masculino,Óculos de Sol,48.0,Venmo,24,Anual
28,Masculino,Camiseta,45.0,Cartao de Credito,8,Trimestral
32,Masculino,Cinto,88.0,Venmo,12,Quinzenal
39,Masculino,Tenis,57.0,Cartao de Debito,48,Quinzenal
28,Masculino,Bone,68.0,Cartao de Debito,6,Trimestral
47,Masculino,Luvas,94.0,Venmo,14,Quinzenal
20,Masculino,Calca,41.0,Venmo,34,Anual
63,Masculino,Meias,83.0,PayPal,12,A cada 3 meses
25,Masculino,Jaqueta,22.0,Cartao de Debito,11,Anual
29,Masculino,Sapato,74.0,Dinheiro,5,Mensal
50,Masculino,Jeans,90.0,Venmo,25,Quinzenal
18,Masculino,Meias,79.0,Cartao de Credito,11,Anual
70,Masculino,Sandalias,28.0,Dinheiro,27,A cada 3 meses
66,Masculino,Cachecol,88.0,Venmo,43,Anual
28,Masculino,Blusa,26.0,Transferencia Bancaria,18,A cada 3 meses
54,Masculino,Joias,27.0,Transferencia Bancaria,32,Duas vezes/semana
19,Masculino,Sueter,83.0,PayPal,27,A cada 3 meses
20,Masculino,Luvas,39.0,PayPal,24,Semanal
43,Masculino,Óculos de Sol,89.0,Dinheiro,31,Trimestral
38,Masculino,Casaco,68.0,Cartao de Debito,39,Quinzenal
50,Masculino,Vestido,90.0,Venmo,36,Quinzenal
64,Masculino,Saia,34.0,Cartao de Debito,5,Anual
49,Masculino,Calca,51.0,PayPal,47,Duas vezes/semana
47,Masculino,Sueter,45.0,Cartao de Credito,29,Quinzenal
36,Masculino,Agasalho,88.0,PayPal,43,Duas vezes/semana
55,Masculino,Casaco,85.0,Cartao de Credito,40,A cada 3 meses
25,Masculino,Joias,100.0,Cartao de Credito,4,Mensal
53,Masculino,Cinto,42.0,Cartao de Debito,39,Semanal
49,Masculino,Sandalias,53.0,Dinheiro,45,Quinzenal
35,Masculino,Óculos de Sol,86.0,Cartao de Credito,20,Duas vezes/semana
29,Masculino,Sueter,66.0,Cartao de Credito,14,Semanal
47,Masculino,Cinto,100.0,Venmo,33,Semanal
53,Masculino,Bolsa,47.0,Dinheiro,18,Anual
33,Masculino,Saia,25.0,Cartao de Debito,9,Semanal
21,Masculino,Bolsa,51.0,PayPal,34,Anual
32,Masculino,Shorts,41.0,Dinheiro,33,Quinzenal
52,Masculino,Botas,73.0,PayPal,15,Duas vezes/semana
67,Masculino,Óculos de Sol,42.0,Cartao de Credito,4,Duas vezes/semana
43,Masculino,Cachecol,20.0,Cartao de Debito,25,Anual
58,Masculino,Joias,30.0,Venmo,20,A cada 3 meses
20,Masculino,Bolsa,53.0,PayPal,5,Trimestral
61,Masculino,Luvas,74.0,Venmo,16,Trimestral
32,Masculino,Jeans,57.0,Cartao de Credito,13,Anual
38,Masculino,Bone,57.0,Transferencia Bancaria,11,A cada 3 meses
21,Masculino,Jeans,77.0,Dinheiro,21,Anual
37,Masculino,Calca,40.0,Dinheiro,6,Anual
27,Masculino,Shorts,46.0,Cartao de Credito,29,Mensal
36,Masculino,Calca,78.0,Venmo,15,Anual
32,Masculino,Mochila,59.0,Venmo,17,Duas vezes/semana
51,Masculino,Joias,75.0,Dinheiro,32,Semanal
64,Masculino,Sueter,54.0,Venmo,42,Anual
68,Masculino,Sapato,42.0,Venmo,21,Mensal
68,Masculino,Blusa,44.0,PayPal,9,Duas vezes/semana
33,Masculino,Jeans,52.0,Cartao de Debito,16,Anual
65,Masculino,Óculos de Sol,69.0,Cartao de Credito,42,Quinzenal
48,Masculino,Joias,26.0,PayPal,37,Duas vezes/semana
69,Masculino,Casaco,33.0,Dinheiro,32,Trimestral
59,Masculino,Joias,32.0,Cartao de Credito,28,Duas vezes/semana
48,Masculino,Mochila,85.0,Cartao de Debito,13,Semanal
25,Masculino,Saia,30.0,Cartao de Debito,11,Quinzenal
29,Masculino,Camisa,29.0,Cartao de Credito,36,Duas vezes/semana
57,Masculino,Sueter,95.0,Transferencia Bancaria,23,Anual
23,Masculino,Tenis,69.0,Cartao de Credito,37,Mensal
45,Masculino,Sandalias,69.0,Cartao de Debito,21,Duas vezes/semana
38,Masculino,Cinto,61.0,Transferencia Bancaria,22,Duas vezes/semana
21,Masculino,Saia,94.0,Cartao de Debito,9,Mensal
32,Masculino,Sueter,30.0,Cartao de Debito,16,Anual
63,Masculino,Saia,45.0,PayPal,4,Trimestral
29,Masculino,Bolsa,39.0,Cartao de Credito,3,Duas vezes/semana
27,Masculino,Joias,51.0,Dinheiro,6,Anual
56,Masculino,Cachecol,37.0,Dinheiro,18,Quinzenal
30,Masculino,Camiseta,62.0,Cartao de Credito,34,Duas vezes/semana
49,Masculino,Casaco,85.0,Cartao de Debito,26,Mensal
58,Masculino,Camiseta,33.0,Transferencia Bancaria,50,Semanal
57,Masculino,Vestido,26.0,Cartao de Credito,40,Mensal
60,Masculino,Sapato,99.0,Cartao de Credito,24,Trimestral
69,Masculino,Bolsa,39.0,PayPal,33,Anual
70,Masculino,Saia,20.0,Dinheiro,19,A cada 3 meses
53,Masculino,Óculos de Sol,42.0,Venmo,24,Trimestral
25,Masculino,Sandalias,74.0,PayPal,19,Semanal
48,Masculino,Sapato,26.0,Transferencia Bancaria,4,Duas vezes/semana
69,Masculino,Camiseta,53.0,Dinheiro,11,A cada 3 meses
25,Masculino,Tenis,80.0,Cartao de Credito,28,Quinzenal
29,Masculino,Bone,98.0,Dinheiro,24,Semanal
46,Masculino,Saia,95.0,Cartao de Debito,25,A cada 3 meses
37,Masculino,Sueter,44.0,Venmo,27,A cada 3 meses
20,Masculino,Sandalias,60.0,Dinheiro,49,Semanal
40,Masculino,Vestido,84.0,Venmo,45,Duas vezes/semana
60,Masculino,Sueter,59.0,Cartao de Debito,26,Anual
26,Masculino,Jaqueta,49.0,Cartao de Debito,4,Anual
29,Masculino,Luvas,32.0,Dinheiro,3,A cada 3 meses
66,Masculino,Bolsa,29.0,Transferencia Bancaria,45,Duas vezes/semana
66,Masculino,Vestido,22.0,Transferencia Bancaria,21,Quinzenal
56,Masculino,Calca,85.0,Cartao de Debito,50,Quinzenal
69,Masculino,Jeans,52.0,Cartao de Debito,19,Mensal
38,Masculino,Calca,89.0,Transferencia Bancaria,6,Anual
42,Masculino,Vestido,77.0,PayPal,50,A cada 3 meses
30,Masculino,Calca,24.0,PayPal,17,A cada 3 meses
66,Masculino,Joias,24.0,Venmo,24,Anual
36,Masculino,Bolsa,22.0,Transferencia Bancaria,46,Mensal
58,Masculino,Sueter,82.0,Transferencia Bancaria,42,A cada 3 meses
45,Masculino,Mochila,67.0,PayPal,10,Anual
47,Masculino,Shorts,74.0,Venmo,1,A cada 3 meses
66,Masculino,Joias,72.0,PayPal,28,Trimestral
41,Masculino,Tenis,36.0,Cartao de Credito,48,Trimestral
41,Masculino,Cinto,95.0,Cartao de Credito,47,Mensal
66,Masculino,Agasalho,78.0,Venmo,29,Duas vezes/semana
37,Masculino,Camisa,82.0,Cartao de Credito,37,Trimestral
70,Masculino,Calca,70.0,Cartao de Debito,38,Anual
62,Masculino,Cachecol,41.0,Dinheiro,48,Semanal
61,Masculino,Casaco,42.0,PayPal,36,Semanal
48,Masculino,Casaco,50.0,Cartao de Debito,9,Semanal
70,Masculino,Meias,31.0,Cartao de Debito,34,Mensal
46,Masculino,Sueter,51.0,Transferencia Bancaria,43,Duas vezes/semana
31,Masculino,Camisa,98.0,Cartao de Credito,46,Trimestral
19,Masculino,Camisa,86.0,Dinheiro,5,Mensal
39,Masculino,Sueter,64.0,Dinheiro,15,Duas vezes/semana
41,Masculino,Blusa,46.0,PayPal,30,Anual
20,Masculino,Sueter,85.0,Dinheiro,44,A cada 3 meses
36,Masculino,Bone,81.0,Cartao de Debito,16,Anual
32,Masculino,Sueter,59.0,Dinheiro,16,Anual
69,Masculino,Agasalho,79.0,Venmo,16,Semanal
40,Masculino,Shorts,33.0,Cartao de Credito,21,A cada 3 meses
40,Masculino,Shorts,47.0,Dinheiro,39,A cada 3 meses
20,Masculino,Bone,20.0,Cartao de Credito,40,Duas vezes/semana
64,Masculino,Casaco,36.0,Transferencia Bancaria,48,A cada 3 meses
27,Masculino,Sandalias,39.0,Dinheiro,26,Mensal
24,Masculino,Saia,71.0,PayPal,46,Mensal
48,Masculino,Sapato,59.0,Dinheiro,27,Anual
49,Masculino,Jeans,50.0,Cartao de Credito,5,Semanal
36,Masculino,Sandalias,41.0,Cartao de Credito,43,Quinzenal
56,Masculino,Blusa,59.0,Transferencia Bancaria,17,Quinzenal
37,Masculino,Bone,87.0,Dinheiro,3,Duas vezes/semana
42,Masculino,Sueter,68.0,Venmo,47,Quinzenal
28,Masculino,Saia,90.0,Dinheiro,24,Duas vezes/semana
27,Masculino,Jeans,71.0,Venmo,12,A cada 3 meses
63,Masculino,Tenis,64.0,Cartao de Credito,35,Mensal
58,Masculino,Joias,76.0,PayPal,42,Semanal
37,Masculino,Joias,42.0,Cartao de Credito,1,A cada 3 meses
56,Masculino,Calca,80.0,Cartao de Debito,27,Semanal
18,Masculino,Cinto,56.0,Transferencia Bancaria,16,Duas vezes/semana
48,Masculino,Bone,25.0,Cartao de Debito,36,A cada 3 meses
31,Masculino,Tenis,74.0,Cartao de Debito,30,A cada 3 meses
51,Masculino,Calca,30.0,Transferencia Bancaria,18,Quinzenal
65,Masculino,Camiseta,96.0,Transferencia Bancaria,45,Anual
53,Masculino,Tenis,64.0,Dinheiro,1,Quinzenal
55,Masculino,Shorts,88.0,Dinheiro,42,Quinzenal
62,Masculino,Sapato,88.0,Cartao de Debito,7,A cada 3 meses
55,Masculino,Luvas,88.0,PayPal,50,Trimestral
64,Masculino,Meias,36.0,Transferencia Bancaria,37,Quinzenal
52,Masculino,Vestido,40.0,Cartao de Credito,18,Mensal
24,Masculino,Bolsa,39.0,Venmo,29,Mensal
38,Masculino,Cinto,40.0,Dinheiro,45,Trimestral
59,Masculino,Cachecol,34.0,Cartao de Credito,13,Semanal
27,Masculino,Tenis,83.0,Transferencia Bancaria,47,Mensal
24,Masculino,Sueter,85.0,Cartao de Credito,7,Semanal
23,Masculino,Casaco,27.0,Transferencia Bancaria,11,Duas vezes/semana
69,Masculino,Joias,78.0,Transferencia Bancaria,39,Mensal
59,Masculino,Óculos de Sol,32.0,Cartao de Debito,6,Trimestral
51,Masculino,Sapato,51.0,PayPal,2,Duas vezes/semana
63,Masculino,Cachecol,32.0,Cartao de Debito,39,A cada 3 meses
54,Masculino,Vestido,62.0,Dinheiro,23,Mensal
32,Masculino,Camiseta,29.0,Cartao de Debito,46,Duas vezes/semana
39,Masculino,Mochila,69.0,PayPal,19,Semanal
66,Masculino,Joias,25.0,Cartao de Debito,3,A cada 3 meses
28,Masculino,Jeans,76.0,PayPal,47,Trimestral
50,Masculino,Óculos de Sol,77.0,Cartao de Credito,6,Trimestral
70,Masculino,Sueter,33.0,Cartao de Credito,6,Anual
67,Masculino,Shorts,93.0,Cartao de Credito,12,Duas vezes/semana
64,Masculino,Joias,39.0,Dinheiro,40,Trimestral
45,Masculino,Casaco,93.0,Dinheiro,38,Quinzenal
22,Masculino,Bolsa,82.0,Cartao de Credito,10,Trimestral
27,Masculino,Botas,42.0,Venmo,28,Mensal
25,Masculino,Luvas,71.0,Cartao de Debito,19,Anual
37,Masculino,Sueter,86.0,Dinheiro,25,Quinzenal
26,Masculino,Camiseta,82.0,PayPal,38,Anual
33,Masculino,Sapato,65.0,Cartao de Credito,6,Quinzenal
43,Masculino,Cachecol,29.0,PayPal,7,Duas vezes/semana
37,Masculino,Tenis,65.0,Dinheiro,2,Anual
46,Masculino,Vestido,88.0,Transferencia Bancaria,24,Anual
22,Masculino,Cinto,46.0,Venmo,26,Anual
20,Masculino,Botas,67.0,PayPal,25,A cada 3 meses
60,Masculino,Cachecol,35.0,Cartao de Credito,10,Mensal
39,Masculino,Botas,66.0,Venmo,14,Quinzenal
43,Masculino,Camiseta,91.0,Transferencia Bancaria,21,Trimestral
31,Masculino,Mochila,78.0,PayPal,26,Mensal
19,Masculino,Tenis,45.0,Cartao de Credito,12,Anual
35,Masculino,Camiseta,93.0,Cartao de Credito,11,Mensal
41,Masculino,Jeans,74.0,Cartao de Debito,15,Anual
52,Masculino,Luvas,55.0,Cartao de Debito,13,Mensal
45,Masculino,Agasalho,76.0,Cartao de Debito,5,Duas vezes/semana
34,Masculino,Tenis,66.0,Cartao de Credito,36,Quinzenal
35,Masculino,Shorts,51.0,Cartao de Debito,32,Mensal
29,Masculino,Sueter,26.0,Cartao de Debito,1,Trimestral
59,Masculino,Jeans,29.0,Dinheiro,15,Anual
24,Masculino,Jaqueta,74.0,Venmo,3,Semanal
70,Masculino,Joias,99.0,Cartao de Debito,48,Mensal
29,Masculino,Mochila,88.0,Transferencia Bancaria,30,Semanal
67,Masculino,Casaco,31.0,Venmo,40,Mensal
36,Masculino,Cinto,55.0,Transferencia Bancaria,24,Quinzenal
23,Masculino,Sandalias,81.0,PayPal,48,Trimestral
18,Masculino,Sueter,73.0,Dinheiro,27,Duas vezes/semana
53,Masculino,Shorts,91.0,Cartao de Credito,14,A cada 3 meses
32,Masculino,Meias,54.0,Cartao de Credito,18,Duas vezes/semana
38,Masculino,Camisa,40.0,Dinheiro,48,Duas vezes/semana
47,Masculino,Calca,59.0,Transferencia Bancaria,32,Anual
46,Masculino,Cachecol,26.0,Transferencia Bancaria,21,Duas vezes/semana
66,Masculino,Sueter,23.0,Cartao de Credito,42,Quinzenal
40,Masculino,Jeans,87.0,Cartao de Debito,4,Trimestral
43,Masculino,Calca,71.0,Dinheiro,19,Trimestral
58,Masculino,Mochila,91.0,Dinheiro,6,Trimestral
