Id,Idade,Genero,Item_Comprado,Valor_Compra(R$),Forma_Pagamento,Compras_Anteriores,Frequencia_Compras
41,69,Masculino,Bolsa,76.0,PayPal,31,Trimestral
42,67,Masculino,Cachecol,39.0,Dinheiro,40,Anual
43,20,Masculino,Casaco,100.0,Transferencia Bancaria,15,Anual
44,25,Masculino,Cachecol,69.0,PayPal,19,Quinzenal
45,39,Masculino,Bone,53.0,Transferencia Bancaria,45,Semanal
46,50,Masculino,Meias,21.0,Venmo,25,Anual
47,57,Masculino,Camisa,43.0,Venmo,45,Trimestral
48,55,Masculino,Joias,54.0,Cartao de Debito,36,Semanal
49,42,Masculino,Camisa,55.0,Cartao de Debito,38,Mensal
50,68,Masculino,Agasalho,30.0,Transferencia Bancaria,34,Duas vezes/semana
51,49,Masculino,Blusa,28.0,Dinheiro,39,Duas vezes/semana
52,59,Masculino,Saia,59.0,PayPal,7,Trimestral
53,42,Masculino,Camiseta,20.0,Cartao de Credito,26,Semanal
54,29,Masculino,Saia,24.0,Cartao de Debito,35,Semanal
55,47,Masculino,Casaco,94.0,Transferencia Bancaria,35,Duas vezes/semana
56,40,Masculino,Jaqueta,28.0,Venmo,49,Anual
57,41,Masculino,Mochila,73.0,PayPal,46,Semanal
58,21,Masculino,Casaco,64.0,PayPal,17,Quinzenal
59,69,Masculino,Agasalho,54.0,Cartao de Credito,29,Mensal
60,63,Masculino,Cinto,79.0,Cartao de Debito,4,Semanal
61,50,Masculino,Sueter,37.0,Cartao de Credito,17,Semanal
62,55,Masculino,Cachecol,68.0,Transferencia Bancaria,21,A cada 3 meses
63,30,Masculino,Tenis,21.0,Cartao de Credito,31,Quinzenal
64,33,Masculino,Óculos de Sol,79.0,Cartao de Credito,43,Semanal
65,65,Masculino,Botas,83.0,PayPal,18,Quinzenal
66,65,Masculino,Mochila,36.0,Cartao de Credito,44,A cada 3 meses
67,31,Masculino,Blusa,94.0,Transferencia Bancaria,3,A cada 3 meses
68,45,Masculino,Casaco,33.0,PayPal,49,Mensal
69,57,Masculino,Bolsa,46.0,Cartao de Credito,21,A cada 3 meses
70,48,Masculino,Cinto,70.0,Cartao de Credito,5,Semanal
71,22,Masculino,Cinto,29.0,Cartao de Credito,32,A cada 3 meses
72,36,Masculino,Vestido,48.0,Cartao de Debito,34,Anual
73,18,Masculino,Vestido,26.0,Cartao de Debito,21,A cada 3 meses
74,48,Masculino,Calca,85.0,Cartao de Debito,43,Duas vezes/semana
75,49,Masculino,Luvas,58.0,PayPal,3,Mensal
76,64,Masculino,Cachecol,85.0,Cartao de Debito,21,Anual
77,50,Masculino,Bone,43.0,Transferencia Bancaria,32,Mensal
78,22,Masculino,Vestido,53.0,Cartao de Debito,36,Quinzenal
79,50,Masculino,Saia,91.0,Venmo,50,Quinzenal
80,38,Masculino,Jaqueta,96.0,Transferencia Bancaria,43,A cada 3 meses
81,19,Masculino,Sandalias,72.0,Cartao de Credito,24,A cada 3 meses
82,67,Masculino,Sapato,96.0,PayPal,36,A cada 3 meses
83,19,Masculino,Calca,28.0,Transferencia Bancaria,21,A cada 3 meses
84,36,Masculino,Vestido,40.0,Cartao de Debito,34,Semanal
85,52,Masculino,Casaco,32.0,Dinheiro,42,A cada 3 meses
86,53,Masculino,Óculos de Sol,95.0,Cartao de Credito,2,Duas vezes/semana
87,24,Masculino,Agasalho,41.0,Venmo,47,Duas vezes/semana
88,52,Masculino,Sapato,53.0,Cartao de Debito,44,Quinzenal
89,33,Masculino,Camiseta,47.0,Cartao de Credito,35,Mensal
90,47,Masculino,Jaqueta,83.0,Transferencia Bancaria,15,Trimestral
91,25,Masculino,Bone,48.0,Venmo,29,Mensal
92,44,Masculino,Cachecol,99.0,PayPal,18,A cada 3 meses
93,61,Masculino,Jaqueta,87.0,Dinheiro,13,A cada 3 meses
94,37,Masculino,Sueter,62.0,PayPal,46,Semanal
95,58,Masculino,Saia,76.0,Transferencia Bancaria,28,Semanal
96,37,Masculino,Tenis,100.0,PayPal,48,Mensal
97,32,Masculino,Luvas,73.0,Venmo,43,A cada 3 meses
98,21,Masculino,Sapato,92.0,PayPal,37,Anual
99,20,Masculino,Jeans,67.0,Dinheiro,20,Anual
100,26,Masculino,Agasalho,40.0,Dinheiro,33,Trimestral
101,62,Masculino,Óculos de Sol,98.0,PayPal,31,Quinzenal
102,27,Masculino,Casaco,85.0,Venmo,50,Duas vezes/semana
103,51,Masculino,Meias,67.0,Cartao de Credito,35,Trimestral
104,54,Masculino,Botas,89.0,Cartao de Debito,22,Duas vezes/semana
105,55,Masculino,Óculos de Sol,24.0,Transferencia Bancaria,1,Mensal
106,69,Masculino,Mochila,96.0,Transferencia Bancaria,4,Anual
107,64,Masculino,Jaqueta,35.0,Dinheiro,31,Mensal
108,28,Masculino,Tenis,67.0,Dinheiro,46,Quinzenal
109,70,Masculino,Meias,79.0,Transferencia Bancaria,32,Duas vezes/semana
110,58,Masculino,Camiseta,85.0,Dinheiro,43,Quinzenal
111,56,Masculino,Mochila,26.0,Transferencia Bancaria,26,Quinzenal
112,26,Masculino,Cinto,75.0,PayPal,9,Anual
113,37,Masculino,Luvas,65.0,Cartao de Credito,28,Duas vezes/semana
114,44,Masculino,Bone,54.0,Cartao de Debito,20,Trimestral
115,70,Masculino,Casaco,95.0,Venmo,9,Semanal
116,53,Masculino,Saia,94.0,Dinheiro,48,A cada 3 meses
117,55,Masculino,Sapato,86.0,PayPal,12,Anual
118,50,Masculino,Sandalias,32.0,Transferencia Bancaria,29,Quinzenal
119,50,Masculino,Sueter,45.0,Transferencia Bancaria,27,Duas vezes/semana
120,38,Masculino,Casaco,76.0,Cartao de Debito,44,Anual
121,64,Masculino,Bone,84.0,PayPal,32,Anual
122,19,Masculino,Shorts,72.0,Dinheiro,11,Quinzenal
123,40,Masculino,Mochila,40.0,Cartao de Credito,44,Quinzenal
124,57,Masculino,Sueter,89.0,Cartao de Debito,46,Semanal
125,44,Masculino,Sueter,86.0,PayPal,50,Anual
126,49,Masculino,Shorts,54.0,Dinheiro,45,A cada 3 meses
127,43,Masculino,Shorts,36.0,Transferencia Bancaria,48,A cada 3 meses
128,24,Masculino,Sueter,89.0,Venmo,26,Semanal
129,20,Masculino,Cachecol,32.0,Venmo,21,Quinzenal
130,24,Masculino,Vestido,67.0,Dinheiro,49,Duas vezes/semana
131,44,Masculino,Cachecol,39.0,Cartao de Credito,13,Quinzenal
132,28,Masculino,Saia,29.0,PayPal,46,Semanal
133,30,Masculino,Mochila,58.0,Transferencia Bancaria,42,Semanal
134,52,Masculino,Sueter,65.0,Transferencia Bancaria,25,Anual
135,43,Masculino,Bone,94.0,Cartao de Credito,25,Mensal
136,43,Masculino,Sandalias,81.0,PayPal,12,Trimestral
137,39,Masculino,Blusa,86.0,Cartao de Credito,4,Trimestral
138,68,Masculino,Tenis,43.0,Dinheiro,38,Semanal
139,68,Masculino,Saia,29.0,Dinheiro,42,Semanal
140,49,Masculino,Casaco,95.0,Cartao de Debito,30,Anual
141,63,Masculino,Camisa,28.0,Transferencia Bancaria,50,Semanal
142,56,Masculino,Luvas,46.0,PayPal,45,Semanal
143,37,Masculino,Jaqueta,58.0,PayPal,33,Quinzenal
144,30,Masculino,Casaco,48.0,Transferencia Bancaria,25,Trimestral
145,19,Masculino,Sapato,43.0,Cartao de Credito,25,Mensal
146,24,Masculino,Joias,95.0,Venmo,44,Trimestral
147,52,Masculino,Saia,30.0,Cartao de Debito,21,Quinzenal
148,63,Masculino,Sapato,64.0,Transferencia Bancaria,31,Quinzenal
149,37,Masculino,Luvas,90.0,PayPal,47,Anual
150,38,Masculino,Calca,76.0,Venmo,14,Mensal
151,35,Masculino,Botas,96.0,Transferencia Bancaria,17,A cada 3 meses
152,28,Masculino,Óculos de Sol,47.0,Cartao de Debito,3,Anual
153,30,Masculino,Camisa,85.0,PayPal,42,Anual
154,69,Masculino,Agasalho,55.0,Cartao de Debito,22,Anual
155,41,Masculino,Vestido,98.0,Cartao de Debito,21,Trimestral
156,63,Masculino,Meias,77.0,Dinheiro,21,Trimestral
157,35,Masculino,Shorts,26.0,Venmo,40,Anual
158,36,Masculino,Bone,68.0,Cartao de Debito,1,Quinzenal
159,25,Masculino,Camisa,73.0,Transferencia Bancaria,50,Mensal
160,58,Masculino,Luvas,27.0,Cartao de Debito,39,A cada 3 meses
161,27,Masculino,Luvas,23.0,Transferencia Bancaria,34,Mensal
162,65,Masculino,Mochila,49.0,Venmo,29,Quinzenal
163,54,Masculino,Óculos de Sol,74.0,Cartao de Credito,31,Duas vezes/semana
164,54,Masculino,Saia,67.0,PayPal,8,Semanal
165,59,Masculino,Bolsa,65.0,Cartao de Debito,5,Quinzenal
166,42,Masculino,Bolsa,60.0,Cartao de Credito,7,Mensal
167,46,Masculino,Tenis,31.0,Dinheiro,30,Mensal
168,33,Masculino,Luvas,27.0,Venmo,14,A cada 3 meses
169,34,Masculino,Sapato,80.0,Transferencia Bancaria,5,Quinzenal
170,27,Masculino,Jaqueta,30.0,Cartao de Credito,3,A cada 3 meses
171,52,Masculino,Camisa,25.0,Venmo,46,Duas vezes/semana
172,29,Masculino,Shorts,35.0,Cartao de Debito,4,Semanal
173,54,Masculino,Joias,67.0,Transferencia Bancaria,42,Duas vezes/semana
174,25,Masculino,Bone,46.0,PayPal,30,Anual
175,41,Masculino,Sapato,35.0,Venmo,37,Anual
176,53,Masculino,Casaco,86.0,Cartao de Debito,2,Anual
177,53,Masculino,Mochila,81.0,Transferencia Bancaria,30,Trimestral
178,21,Masculino,Agasalho,42.0,Cartao de Debito,47,Mensal
179,61,Masculino,Saia,43.0,Cartao de Debito,21,Trimestral
180,64,Masculino,Botas,31.0,Cartao de Debito,9,Quinzenal
181,51,Masculino,Sandalias,81.0,Dinheiro,12,Quinzenal
182,32,Masculino,Calca,61.0,Venmo,4,Semanal
183,38,Masculino,Luvas,96.0,Venmo,10,Anual
184,58,Masculino,Saia,29.0,Transferencia Bancaria,26,Semanal
185,32,Masculino,Tenis,33.0,Dinheiro,40,Quinzenal
186,46,Masculino,Camiseta,32.0,Transferencia Bancaria,34,Quinzenal
187,39,Masculino,Mochila,56.0,Cartao de Debito,31,Anual
188,19,Masculino,Sapato,94.0,Cartao de Credito,1,Duas vezes/semana
189,50,Masculino,Agasalho,53.0,Cartao de Credito,5,Duas vezes/semana
190,36,Masculino,Blusa,82.0,Venmo,4,Semanal
191,65,Masculino,Casaco,70.0,Venmo,48,Trimestral
192,64,Masculino,Bone,76.0,Cartao de Credito,29,A cada 3 meses
193,46,Masculino,Sapato,29.0,Venmo,12,Duas vezes/semana
194,36,Masculino,Cinto,100.0,PayPal,29,Anual
195,51,Masculino,Mochila,94.0,Venmo,15,Trimestral
196,51,Masculino,Jaqueta,25.0,Cartao de Credito,34,Mensal
197,38,Masculino,Botas,88.0,Dinheiro,41,Quinzenal
198,59,Masculino,Cachecol,78.0,Cartao de Debito,41,Mensal
199,57,Masculino,Joias,45.0,Dinheiro,39,Quinzenal
200,54,Masculino,Bone,73.0,Cartao de Debito,32,Semanal
201,25,Masculino,Vestido,61.0,PayPal,29,Mensal
202,69,Masculino,Blusa,22.0,Transferencia Bancaria,15,Anual
203,57,Masculino,Bone,38.0,Transferencia Bancaria,33,Anual
204,70,Masculino,Cachecol,38.0,PayPal,18,Semanal
205,24,Masculino,Tenis,100.0,PayPal,35,Duas vezes/semana
206,67,Masculino,Camisa,64.0,Transferencia Bancaria,25,Semanal
207,24,Masculino,Camiseta,55.0,Venmo,6,Quinzenal
208,62,Masculino,Luvas,91.0,Venmo,17,Duas vezes/semana
209,57,Masculino,Saia,38.0,Dinheiro,17,Mensal
210,55,Masculino,Sandalias,97.0,Transferencia Bancaria,44,A cada 3 meses
211,45,Masculino,Jaqueta,22.0,Venmo,6,Quinzenal
212,69,Masculino,Saia,92.0,Venmo,45,Quinzenal
213,67,Masculino,Bolsa,84.0,Venmo,7,Anual
214,30,Masculino,Bolsa,93.0,Dinheiro,11,A cada 3 meses
215,24,Masculino,Jaqueta,50.0,Dinheiro,41,A cada 3 meses
216,62,Masculino,Cachecol,64.0,Transferencia Bancaria,24,Duas vezes/semana
217,43,Masculino,Shorts,61.0,Dinheiro,21,Semanal
218,35,Masculino,Óculos de Sol,48.0,Venmo,24,Anual
219,28,Masculino,Camiseta,45.0,Cartao de Credito,8,Trimestral
220,32,Masculino,Cinto,88.0,Venmo,12,Quinzenal
221,39,Masculino,Tenis,57.0,Cartao de Debito,48,Quinzenal
222,28,Masculino,Bone,68.0,Cartao de Debito,6,Trimestral
223,47,Masculino,Luvas,94.0,Venmo,14,Quinzenal
224,20,Masculino,Calca,41.0,Venmo,34,Anual
225,63,Masculino,Meias,83.0,PayPal,12,A cada 3 meses
226,25,Masculino,Jaqueta,22.0,Cartao de Debito,11,Anual
227,29,Masculino,Sapato,74.0,Dinheiro,5,Mensal
228,50,Masculino,Jeans,90.0,Venmo,25,Quinzenal
229,18,Masculino,Meias,79.0,Cartao de Credito,11,Anual
230,70,Masculino,Sandalias,28.0,Dinheiro,27,A cada 3 meses
231,66,Masculino,Cachecol,88.0,Venmo,43,Anual
232,28,Masculino,Blusa,26.0,Transferencia Bancaria,18,A cada 3 meses
233,54,Masculino,Joias,27.0,Transferencia Bancaria,32,Duas vezes/semana
234,19,Masculino,Sueter,83.0,PayPal,27,A cada 3 meses
235,20,Masculino,Luvas,39.0,PayPal,24,Semanal
236,43,Masculino,Óculos de Sol,89.0,Dinheiro,31,Trimestral
237,38,Masculino,Casaco,68.0,Cartao de Debito,39,Quinzenal
238,50,Masculino,Vestido,90.0,Venmo,36,Quinzenal
239,64,Masculino,Saia,34.0,Cartao de Debito,5,Anual
240,49,Masculino,Calca,51.0,PayPal,47,Duas vezes/semana
241,47,Masculino,Sueter,45.0,Cartao de Credito,29,Quinzenal
242,36,Masculino,Agasalho,88.0,PayPal,43,Duas vezes/semana
243,55,Masculino,Casaco,85.0,Cartao de Credito,40,A cada 3 meses
244,25,Masculino,Joias,100.0,Cartao de Credito,4,Mensal
245,53,Masculino,Cinto,42.0,Cartao de Debito,39,Semanal
246,49,Masculino,Sandalias,53.0,Dinheiro,45,Quinzenal
247,35,Masculino,Óculos de Sol,86.0,Cartao de Credito,20,Duas vezes/semana
248,29,Masculino,Sueter,66.0,Cartao de Credito,14,Semanal
249,47,Masculino,Cinto,100.0,Venmo,33,Semanal
250,53,Masculino,Bolsa,47.0,Dinheiro,18,Anual
251,33,Masculino,Saia,25.0,Cartao de Debito,9,Semanal
252,21,Masculino,Bolsa,51.0,PayPal,34,Anual
253,32,Masculino,Shorts,41.0,Dinheiro,33,Quinzenal
254,52,Masculino,Botas,73.0,PayPal,15,Duas vezes/semana
255,67,Masculino,Óculos de Sol,42.0,Cartao de Credito,4,Duas vezes/semana
256,43,Masculino,Cachecol,20.0,Cartao de Debito,25,Anual
257,58,Masculino,Joias,30.0,Venmo,20,A cada 3 meses
258,20,Masculino,Bolsa,53.0,PayPal,5,Trimestral
259,61,Masculino,Luvas,74.0,Venmo,16,Trimestral
260,32,Masculino,Jeans,57.0,Cartao de Credito,13,Anual
261,38,Masculino,Bone,57.0,Transferencia Bancaria,11,A cada 3 meses
262,21,Masculino,Jeans,77.0,Dinheiro,21,Anual
263,37,Masculino,Calca,40.0,Dinheiro,6,Anual
264,27,Masculino,Shorts,46.0,Cartao de Credito,29,Mensal
265,36,Masculino,Calca,78.0,Venmo,15,Anual
266,32,Masculino,Mochila,59.0,Venmo,17,Duas vezes/semana
267,51,Masculino,Joias,75.0,Dinheiro,32,Semanal
268,64,Masculino,Sueter,54.0,Venmo,42,Anual
269,68,Masculino,Sapato,42.0,Venmo,21,Mensal
270,68,Masculino,Blusa,44.0,PayPal,9,Duas vezes/semana
271,33,Masculino,Jeans,52.0,Cartao de Debito,16,Anual
272,65,Masculino,Óculos de Sol,69.0,Cartao de Credito,42,Quinzenal
273,48,Masculino,Joias,26.0,PayPal,37,Duas vezes/semana
274,69,Masculino,Casaco,33.0,Dinheiro,32,Trimestral
275,59,Masculino,Joias,32.0,Cartao de Credito,28,Duas vezes/semana
276,48,Masculino,Mochila,85.0,Cartao de Debito,13,Semanal
277,25,Masculino,Saia,30.0,Cartao de Debito,11,Quinzenal
278,29,Masculino,Camisa,29.0,Cartao de Credito,36,Duas vezes/semana
279,57,Masculino,Sueter,95.0,Transferencia Bancaria,23,Anual
280,23,Masculino,Tenis,69.0,Cartao de Credito,37,Mensal
281,45,Masculino,Sandalias,69.0,Cartao de Debito,21,Duas vezes/semana
282,38,Masculino,Cinto,61.0,Transferencia Bancaria,22,Duas vezes/semana
283,21,Masculino,Saia,94.0,Cartao de Debito,9,Mensal
284,32,Masculino,Sueter,30.0,Cartao de Debito,16,Anual
285,63,Masculino,Saia,45.0,PayPal,4,Trimestral
286,29,Masculino,Bolsa,39.0,Cartao de Credito,3,Duas vezes/semana
287,27,Masculino,Joias,51.0,Dinheiro,6,Anual
288,56,Masculino,Cachecol,37.0,Dinheiro,18,Quinzenal
289,30,Masculino,Camiseta,62.0,Cartao de Credito,34,Duas vezes/semana
290,49,Masculino,Casaco,85.0,Cartao de Debito,26,Mensal
291,58,Masculino,Camiseta,33.0,Transferencia Bancaria,50,Semanal
292,57,Masculino,Vestido,26.0,Cartao de Credito,40,Mensal
293,60,Masculino,Sapato,99.0,Cartao de Credito,24,Trimestral
294,69,Masculino,Bolsa,39.0,PayPal,33,Anual
295,70,Masculino,Saia,20.0,Dinheiro,19,A cada 3 meses
296,53,Masculino,Óculos de Sol,42.0,Venmo,24,Trimestral
297,25,Masculino,Sandalias,74.0,PayPal,19,Semanal
298,48,Masculino,Sapato,26.0,Transferencia Bancaria,4,Duas vezes/semana
299,69,Masculino,Camiseta,53.0,Dinheiro,11,A cada 3 meses
300,25,Masculino,Tenis,80.0,Cartao de Credito,28,Quinzenal
301,29,Masculino,Bone,98.0,Dinheiro,24,Semanal
302,46,Masculino,Saia,95.0,Cartao de Debito,25,A cada 3 meses
303,37,Masculino,Sueter,44.0,Venmo,27,A cada 3 meses
304,20,Masculino,Sandalias,60.0,Dinheiro,49,Semanal
305,40,Masculino,Vestido,84.0,Venmo,45,Duas vezes/semana
306,60,Masculino,Sueter,59.0,Cartao de Debito,26,Anual
307,26,Masculino,Jaqueta,49.0,Cartao de Debito,4,Anual
308,29,Masculino,Luvas,32.0,Dinheiro,3,A cada 3 meses
309,66,Masculino,Bolsa,29.0,Transferencia Bancaria,45,Duas vezes/semana
310,66,Masculino,Vestido,22.0,Transferencia Bancaria,21,Quinzenal
311,56,Masculino,Calca,85.0,Cartao de Debito,50,Quinzenal
312,69,Masculino,Jeans,52.0,Cartao de Debito,19,Mensal
313,38,Masculino,Calca,89.0,Transferencia Bancaria,6,Anual
314,42,Masculino,Vestido,77.0,PayPal,50,A cada 3 meses
315,30,Masculino,Calca,24.0,PayPal,17,A cada 3 meses
316,66,Masculino,Joias,24.0,Venmo,24,Anual
317,36,Masculino,Bolsa,22.0,Transferencia Bancaria,46,Mensal
318,58,Masculino,Sueter,82.0,Transferencia Bancaria,42,A cada 3 meses
319,45,Masculino,Mochila,67.0,PayPal,10,Anual
320,47,Masculino,Shorts,74.0,Venmo,1,A cada 3 meses
321,66,Masculino,Joias,72.0,PayPal,28,Trimestral
322,41,Masculino,Tenis,36.0,Cartao de Credito,48,Trimestral
323,41,Masculino,Cinto,95.0,Cartao de Credito,47,Mensal
324,66,Masculino,Agasalho,78.0,Venmo,29,Duas vezes/semana
325,37,Masculino,Camisa,82.0,Cartao de Credito,37,Trimestral
326,70,Masculino,Calca,70.0,Cartao de Debito,38,Anual
327,62,Masculino,Cachecol,41.0,Dinheiro,48,Semanal
328,61,Masculino,Casaco,42.0,PayPal,36,Semanal
329,48,Masculino,Casaco,50.0,Cartao de Debito,9,Semanal
330,70,Masculino,Meias,31.0,Cartao de Debito,34,Mensal
331,46,Masculino,Sueter,51.0,Transferencia Bancaria,43,Duas vezes/semana
332,31,Masculino,Camisa,98.0,Cartao de Credito,46,Trimestral
333,19,Masculino,Camisa,86.0,Dinheiro,5,Mensal
334,39,Masculino,Sueter,64.0,Dinheiro,15,Duas vezes/semana
335,41,Masculino,Blusa,46.0,PayPal,30,Anual
336,20,Masculino,Sueter,85.0,Dinheiro,44,A cada 3 meses
337,36,Masculino,Bone,81.0,Cartao de Debito,16,Anual
338,32,Masculino,Sueter,59.0,Dinheiro,16,Anual
339,69,Masculino,Agasalho,79.0,Venmo,16,Semanal
340,40,Masculino,Shorts,33.0,Cartao de Credito,21,A cada 3 meses
341,40,Masculino,Shorts,47.0,Dinheiro,39,A cada 3 meses
342,20,Masculino,Bone,20.0,Cartao de Credito,40,Duas vezes/semana
343,64,Masculino,Casaco,36.0,Transferencia Bancaria,48,A cada 3 meses
344,27,Masculino,Sandalias,39.0,Dinheiro,26,Mensal
345,24,Masculino,Saia,71.0,PayPal,46,Mensal
346,48,Masculino,Sapato,59.0,Dinheiro,27,Anual
347,49,Masculino,Jeans,50.0,Cartao de Credito,5,Semanal
348,36,Masculino,Sandalias,41.0,Cartao de Credito,43,Quinzenal
349,56,Masculino,Blusa,59.0,Transferencia Bancaria,17,Quinzenal
350,37,Masculino,Bone,87.0,Dinheiro,3,Duas vezes/semana
351,42,Masculino,Sueter,68.0,Venmo,47,Quinzenal
352,28,Masculino,Saia,90.0,Dinheiro,24,Duas vezes/semana
353,27,Masculino,Jeans,71.0,Venmo,12,A cada 3 meses
354,63,Masculino,Tenis,64.0,Cartao de Credito,35,Mensal
355,58,Masculino,Joias,76.0,PayPal,42,Semanal
356,37,Masculino,Joias,42.0,Cartao de Credito,1,A cada 3 meses
357,56,Masculino,Calca,80.0,Cartao de Debito,27,Semanal
358,18,Masculino,Cinto,56.0,Transferencia Bancaria,16,Duas vezes/semana
359,48,Masculino,Bone,25.0,Cartao de Debito,36,A cada 3 meses
360,31,Masculino,Tenis,74.0,Cartao de Debito,30,A cada 3 meses
361,51,Masculino,Calca,30.0,Transferencia Bancaria,18,Quinzenal
362,65,Masculino,Camiseta,96.0,Transferencia Bancaria,45,Anual
363,53,Masculino,Tenis,64.0,Dinheiro,1,Quinzenal
364,55,Masculino,Shorts,88.0,Dinheiro,42,Quinzenal
365,62,Masculino,Sapato,88.0,Cartao de Debito,7,A cada 3 meses
366,55,Masculino,Luvas,88.0,PayPal,50,Trimestral
367,64,Masculino,Meias,36.0,Transferencia Bancaria,37,Quinzenal
368,52,Masculino,Vestido,40.0,Cartao de Credito,18,Mensal
369,24,Masculino,Bolsa,39.0,Venmo,29,Mensal
370,38,Masculino,Cinto,40.0,Dinheiro,45,Trimestral
371,59,Masculino,Cachecol,34.0,Cartao de Credito,13,Semanal
372,27,Masculino,Tenis,83.0,Transferencia Bancaria,47,Mensal
373,24,Masculino,Sueter,85.0,Cartao de Credito,7,Semanal
374,23,Masculino,Casaco,27.0,Transferencia Bancaria,11,Duas vezes/semana
375,69,Masculino,Joias,78.0,Transferencia Bancaria,39,Mensal
376,59,Masculino,Óculos de Sol,32.0,Cartao de Debito,6,Trimestral
377,51,Masculino,Sapato,51.0,PayPal,2,Duas vezes/semana
378,63,Masculino,Cachecol,32.0,Cartao de Debito,39,A cada 3 meses
379,54,Masculino,Vestido,62.0,Dinheiro,23,Mensal
380,32,Masculino,Camiseta,29.0,Cartao de Debito,46,Duas vezes/semana
381,39,Masculino,Mochila,69.0,PayPal,19,Semanal
382,66,Masculino,Joias,25.0,Cartao de Debito,3,A cada 3 meses
383,28,Masculino,Jeans,76.0,PayPal,47,Trimestral
384,50,Masculino,Óculos de Sol,77.0,Cartao de Credito,6,Trimestral
385,70,Masculino,Sueter,33.0,Cartao de Credito,6,Anual
386,67,Masculino,Shorts,93.0,Cartao de Credito,12,Duas vezes/semana
387,64,Masculino,Joias,39.0,Dinheiro,40,Trimestral
388,45,Masculino,Casaco,93.0,Dinheiro,38,Quinzenal
389,22,Masculino,Bolsa,82.0,Cartao de Credito,10,Trimestral
390,27,Masculino,Botas,42.0,Venmo,28,Mensal
391,25,Masculino,Luvas,71.0,Cartao de Debito,19,Anual
392,37,Masculino,Sueter,86.0,Dinheiro,25,Quinzenal
393,26,Masculino,Camiseta,82.0,PayPal,38,Anual
394,33,Masculino,Sapato,65.0,Cartao de Credito,6,Quinzenal
395,43,Masculino,Cachecol,29.0,PayPal,7,Duas vezes/semana
396,37,Masculino,Tenis,65.0,Dinheiro,2,Anual
397,46,Masculino,Vestido,88.0,Transferencia Bancaria,24,Anual
398,22,Masculino,Cinto,46.0,Venmo,26,Anual
399,20,Masculino,Botas,67.0,PayPal,25,A cada 3 meses
400,60,Masculino,Cachecol,35.0,Cartao de Credito,10,Mensal
401,39,Masculino,Botas,66.0,Venmo,14,Quinzenal
402,43,Masculino,Camiseta,91.0,Transferencia Bancaria,21,Trimestral
403,31,Masculino,Mochila,78.0,PayPal,26,Mensal
